4.45,-105.7015932,-24.45162823
4.45,-105.7015932,-6.15502823
4.45,-105.7015932,12.14157177
4.45,-105.7015932,30.43817177
4.45,-105.7015932,48.73477177
4.45,-105.7015932,67.03137177
4.45,-105.7015932,85.32797177
4.45,-105.7015932,103.6245718
4.45,-105.7015932,121.9211718
4.45,-105.7015932,140.2177718
4.45,-105.7015932,158.5143718
4.45,-105.7015932,176.8109718
4.45,-105.7015932,195.1075718
4.45,-105.7015932,213.4041718
4.45,-105.7015932,231.7007718
4.45,-100.272184,-234.8542364
4.45,-100.272184,-216.5575858
4.45,-100.272184,-198.2609352
4.45,-100.272184,-179.9642846
4.45,-100.272184,-161.667634
4.45,-100.272184,-143.3709834
4.45,-100.272184,-125.0743328
4.45,-100.272184,-106.7776822
4.45,-100.272184,-88.4810316
4.45,-100.272184,-70.184381
4.45,-100.272184,-51.8877304
4.45,-100.272184,-33.5910798
4.45,-100.272184,-15.2944292
4.45,-100.272184,3.0022214
4.45,-100.272184,21.298872
4.45,-100.272184,39.5955226
4.45,-100.272184,57.8921732
4.45,-100.272184,76.1888238
4.45,-100.272184,94.4854744
4.45,-100.272184,112.782125
4.45,-100.272184,131.0787756
4.45,-100.272184,149.3754262
4.45,-100.272184,167.6720768
4.45,-100.272184,185.9687274
4.45,-100.272184,204.265378
4.45,-100.272184,222.5620286
4.45,-100.272184,240.8586792
4.45,-95.072184,-243.8609006
4.45,-95.072184,-225.56425
4.45,-95.072184,-207.2675994
4.45,-95.072184,-188.9709488
4.45,-95.072184,-170.6742982
4.45,-95.072184,-152.3776476
4.45,-95.072184,-134.080997
4.45,-95.072184,-115.7843464
4.45,-95.072184,-97.4876958
4.45,-95.072184,-79.1910452
4.45,-95.072184,-60.8943946
4.45,-95.072184,-42.597744
4.45,-95.072184,-24.3010934
4.45,-95.072184,-6.0044428
4.45,-95.072184,12.2922078
4.45,-95.072184,30.5888584
4.45,-95.072184,48.885509
4.45,-95.072184,67.1821596
4.45,-95.072184,85.4788102
