## take reference from DESI's, modified for JUST
# Echo 22 focal plane parameters calculated from model in DESI-4037v6.							
# The plate scale varies with radius, and is different in the							
# meridional (radial) direction vs. the							
# sagittal (tangential/azimuthal) direction.  The table below							
# contains the F/#, Focal Length, and Plate Scale vs. radius for							
# both the meridional and sagittal orientations at that radius.							
							
# Columns:							
# - Radius : radius from center of focal plane [mm]							
# - Theta radial angle that has a centroid at this radius [deg]							
# - MF/# : Meridional F/#							
# - SF/# : Sagittal F/#							
# - MFL  : Meridional focal length [m]							
# - SFL  : Sagittal focal length [m]							
# - MPS  : Meridional plate scale [um/arcsec]							
# - SPS  : Sagittal plate scale [um/arcsec]							
# Radius	Theta	MF/#	SF/#	MFL	SFL	MPS	SPS
51.625467000    0.111854442    5.510080634    5.509250996    26.448387042    26.444404780    128.225278365    128.205971832
52.582960730    0.113926789    5.510203190    5.509357869    26.448975312    26.444917773    128.228130377    128.208458888
53.540535245    0.115999181    5.510328007    5.509467021    26.449574434    26.445441700    128.231034999    128.210998959
54.498192013    0.118071621    5.510455088    5.509578452    26.450184421    26.445976571    128.233992295    128.213592085
55.455932515    0.120144109    5.510584434    5.509692165    26.450805284    26.446522394    128.237002323    128.216238305
56.413758223    0.122216645    5.510716049    5.509808162    26.451437037    26.447079176    128.240065146    128.218937659
57.371670610    0.124289230    5.510849936    5.509926443    26.452079693    26.447646927    128.243180825    128.221690189
58.329671155    0.126361865    5.510986097    5.510047011    26.452733263    26.448225654    128.246349422    128.224495935
59.287761330    0.128434550    5.511124534    5.510169868    26.453397762    26.448815366    128.249570999    128.227354939
60.245942613    0.130507285    5.511265250    5.510295015    26.454073202    26.449416073    128.252845620    128.230267241
61.204216478    0.132580072    5.511408249    5.510422454    26.454759595    26.450027781    128.256173346    128.233232885
62.162537570    0.134652809    5.511553525    5.510552181    26.455456921    26.450650470    128.259554076    128.236251763
63.121000933    0.136725700    5.511701096    5.510684210    26.456165262    26.451284209    128.262988203    128.239324213
64.079561308    0.138798644    5.511850957    5.510818537    26.456884595    26.451928976    128.266475627    128.242450132
65.038220163    0.140871641    5.512003112    5.510955163    26.457614935    26.452584782    128.270016412    128.245629563
65.996978985    0.142944692    5.512157562    5.511094090    26.458356295    26.453251634    128.273610625    128.248862550
66.955839253    0.145017798    5.512314310    5.511235321    26.459108689    26.453929542    128.277258329    128.252149137
67.914802435    0.147090959    5.512473360    5.511378857    26.459872130    26.454618514    128.280959590    128.255489368
68.873870023    0.149164175    5.512634715    5.511524700    26.460646631    26.455318561    128.284714475    128.258883288
69.833043488    0.151237448    5.512798376    5.511672852    26.461432207    26.456029692    128.288523049    128.262330942
70.792324308    0.153310778    5.512964348    5.511823316    26.462228870    26.456751915    128.292385379    128.265832375
71.751713973    0.155384165    5.513132632    5.511976092    26.463036636    26.457485240    128.296301532    128.269387633
72.711213955    0.157457609    5.513303233    5.512131183    26.463855517    26.458229677    128.300271576    128.272996763
73.670825738    0.159531113    5.513476152    5.512288591    26.464685527    26.458985236    128.304295577    128.276659810
74.630550800    0.161604675    5.513651392    5.512448318    26.465526682    26.459751925    128.308373605    128.280376822
75.590390628    0.163678296    5.513828957    5.512610366    26.466378994    26.460529755    128.312505727    128.284147846
76.550346703    0.165751977    5.514008850    5.512774737    26.467242478    26.461318736    128.316692012    128.287972928
77.510336143    0.167825537    5.514191056    5.512941418    26.468117071    26.462118806    128.320932155    128.291851774
78.470528593    0.169899339    5.514375613    5.513110441    26.469002940    26.462930116    128.325226967    128.295785112
79.430841740    0.171973202    5.514562505    5.513281793    26.469900025    26.463752606    128.329576152    128.299772653
80.391277075    0.174047127    5.514751737    5.513455476    26.470808339    26.464586287    128.333979778    128.303814447
81.351836070    0.176121115    5.514943312    5.513631493    26.471727897    26.465431168    128.338437917    128.307910542
82.312520225    0.178195166    5.515137232    5.513809846    26.472658714    26.466287260    128.342950640    128.312060989
83.273331018    0.180269280    5.515333501    5.513990536    26.473600804    26.467154573    128.347518018    128.316265837
84.234269935    0.182343458    5.515532121    5.514173566    26.474554182    26.468033117    128.352140122    128.320525137
85.195338460    0.184417701    5.515733097    5.514358938    26.475518864    26.468922904    128.356817026    128.324838939
86.156538085    0.186492009    5.515936430    5.514546655    26.476494863    26.469823943    128.361548801    128.329207295
87.117870298    0.188566383    5.516142124    5.514736718    26.477482196    26.470736245    128.366335520    128.333630255
88.079336578    0.190640822    5.516350183    5.514929129    26.478480877    26.471659820    128.371177257    128.338107872
89.040938428    0.192715328    5.516560609    5.515123892    26.479490921    26.472594680    128.376074085    128.342640198
